A fost afisat meniul de la restaurantul 3,Fri May 07 18:35:03 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:39:08 EEST 2021
Livratorul Popescu a completat o comanda,Fri May 07 18:39:14 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:51:01 EEST 2021
Livratorul Popescu a completat o comanda,Fri May 07 18:51:03 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:51:39 EEST 2021
Livratorul Popescu a completat o comanda,Fri May 07 18:51:40 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:54:35 EEST 2021
Livratorul Popescu a completat o comanda,Fri May 07 18:54:37 EEST 2021
Utilizatorul test s-a logat,Fri May 07 18:54:57 EEST 2021
Utilizatorul test a afisat comenzile,Fri May 07 18:55:00 EEST 2021
Utilizatorul test s-a delogat,Fri May 07 18:55:09 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:55:14 EEST 2021
Utilizatorul Popescu s-a logat,Fri May 07 18:56:32 EEST 2021
Utilizatorul Popescu s-a delogat,Fri May 07 18:56:37 EEST 2021
Utilizatorul test s-a logat,Fri May 07 18:56:39 EEST 2021
Utilizatorul test a afisat comenzile,Fri May 07 18:56:43 EEST 2021
Utilizatorul Andrei_Ion s-a logat,Fri May 07 18:57:58 EEST 2021
A fost afisat meniul de la restaurantul 1,Fri May 07 18:58:02 EEST 2021
Utilizatorul Andrei_Ion si-a afisat cosul de cumparaturi,Fri May 07 18:58:10 EEST 2021
Au fost afisate toate restaurantele,Fri May 07 18:58:13 EEST 2021
Andrei_Ion a adaugat Green Apple in cos,Fri May 07 18:58:18 EEST 2021
Utilizatorul Andrei_Ion si-a afisat cosul de cumparaturi,Fri May 07 18:58:20 EEST 2021
Au fost afisate toate restaurantele,Fri May 07 18:58:22 EEST 2021
Andrei_Ion a adaugat Pizza Capriciosa in cos,Fri May 07 18:58:29 EEST 2021
Utilizatorul Andrei_Ion si-a afisat cosul de cumparaturi,Fri May 07 18:58:42 EEST 2021
Au fost afisate toate restaurantele,Fri May 07 18:58:48 EEST 2021
Andrei_Ion a adaugat Burger de vita in cos,Fri May 07 18:58:50 EEST 2021
Utilizatorul Andrei_Ion s-a delogat,Fri May 07 18:58:58 EEST 2021
Utilizatorul test s-a logat,Fri May 07 18:59:01 EEST 2021
Au fost afisate toate restaurantele,Fri May 07 18:59:02 EEST 2021
